HomMe ITEM NUMBER,MAIN PICTURE,OTHER PICTURES,COLORS,MATERIAL,PRODUCT NAME,Descreption,Size,Cost,price shekel,price -10%,Price
BRK1,BRK1,BRK1A,,מלמין/MDF,GUBER BAMBINO,סט מלא לחדר שינה ילדים,,4932,6904,,6904
BRK2,BRK2,BRK2A,,מלמין/MDF,GUBER COSMUS,סט מלא לחדר שינה ילדים,,5686,7961,,7961
BRK3,BRK3,BRK3A,,מלמין/MDF,GUBER SUPERBOY,סט מלא לחדר שינה ילדים,,4797,6716,,6716
BRK4,BRK4,BRK4A,,מלמין/MDF,GUBER DORIN,סט מלא לחדר שינה ילדים,,6692,9369,,9369
BRK5,BRK5,BRK5A,,מלמין/MDF,GUBER ANABEL,סט מלא לחדר שינה ילדים,,4610,6454,,6454
BRK6,BRK6,BRK6A,,מלמין/MDF,GUBER CACTUS,סט מלא לחדר שינה ילדים,,5815,8141,,8141
BRK7,BRK7,BRK7A,,מלמין/MDF,GUBER MATRIX,סט מלא לחדר שינה ילדים,,5054,7076,,7076
BRK8,BRK8,BRK8A,,מלמין/MDF,GUBER TOMY,סט מלא לחדר שינה ילדים,,6634,9287,,9287
BRK9,BRK9,BRK9A,,מלמין/MDF,GUBER ELIZABETH,סט מלא לחדר שינה ילדים,,4235,5930,,5930
BRK10,BRK10,BRK10A,,מלמין/MDF,GUBER GALI,סט מלא לחדר שינה ילדים,,4177,5848,,5848
BRK11,BRK11,BRK11A,,מלמין/MDF,GUBER CRAZY,סט מלא לחדר שינה ילדים,,5043,7060,,7060
BRK12,BRK12,BRK12A,,מלמין/MDF,GUBER NATANEL,סט מלא לחדר שינה ילדים,,5686,7961,,7961
BRK13,BRK13,BRK13A,,מלמין/MDF,GUBER DOR,סט מלא לחדר שינה ילדים,,4932,6904,,6904
BRK14,BRK14,BRK14A,,מלמין/MDF,GUBER NOAM,סט מלא לחדר שינה ילדים,,4551,6372,,6372
BRK15,BRK15,BRK15A,,מלמין/MDF,GUBER VERED,סט מלא לחדר שינה ילדים,,3779,5291,,5291
BRK16,BRK16,BRK16A,,מלמין/MDF,GUBER CARNAVAL,סט מלא לחדר שינה ילדים,,4932,6904,,6904
BRK17,BRK17,BRK17A,,מלמין/MDF,GUBER SHAY,סט מלא לחדר שינה ילדים,,3662,5127,,5127
BRK18,BRK18,BRK18A,,מלמין/MDF,GUBER KOHAVIM,סט מלא לחדר שינה ילדים,,4048,5667,,5667
BRK19,BRK19,BRK19A,,מלמין/MDF,GUBER NURIT,סט מלא לחדר שינה ילדים,,5944,8321,,8321
BRK20,BRK20,BRK20A,,מלמין/MDF,GUBER ROTEM,סט מלא לחדר שינה ילדים,,4680,6552,,6552
BRK21,BRK21,BRK21A,,מלמין/MDF,GUBER MAYA,סט מלא לחדר שינה ילדים,,4797,6716,,6716
BRK22,BRK22,BRK22A,,מלמין/MDF,GUBER DANIEL,סט מלא לחדר שינה ילדים,,5054,7076,,7076
BRK23,BRK23,BRK23A,,מלמין/MDF,GUBER CLASSICO,סט מלא לחדר שינה ילדים,,5686,7961,,7961
BRK24,BRK24,BRK24A,,מלמין/MDF,GUBER OSHER,סט מלא לחדר שינה ילדים,,3662,5127,,5127
